Crewed or Uncrewed,Launched?,High Temp,Low Temp,Ave Temp,Hist High Temp,Hist Low Temp,Hist Ave Temp,Percipitation at Launch Time,Hist Ave Percipitation,Wind Direction,Max Wind Speed,Visibility,Condition,target
Uncrewed,N,75.0,68.0,71.0,75.0,55.0,65.0,0.0,0.08,E,16.0,15.0,Cloudy,0
Uncrewed,N,78.0,70.0,73.39,75.0,55.0,65.0,0.0,0.09,E,14.0,10.0,Cloudy,0
Uncrewed,Y,73.0,0.0,60.21,75.0,55.0,65.0,0.0,0.09,NE,15.0,10.0,Cloudy,1
Uncrewed,N,76.0,57.0,66.04,75.0,55.0,65.0,0.0,0.08,N,10.0,10.0,Partly Cloudy,0
Uncrewed,N,79.0,60.0,70.52,75.0,55.0,65.0,0.0,0.09,E,12.0,10.0,Partly Cloudy,0
Uncrewed,N,78.0,0.0,60.92,75.0,53.0,64.0,0.0,0.1,SE,10.0,10.0,Cloudy,0
Uncrewed,N,82.0,0.0,65.12,75.0,54.0,64.0,0.0,0.09,E,13.0,10.0,Partly Cloudy,0
Uncrewed,Y,78.0,0.0,69.65,75.0,54.0,64.0,0.0,0.1,SE,20.0,7.0,Cloudy,1
Uncrewed,N,77.0,0.0,66.72,75.0,54.0,65.0,0.0,0.1,SE,21.0,7.0,Cloudy,0
Uncrewed,N,81.0,67.0,72.63,75.0,54.0,65.0,0.0,0.1,SE,17.0,10.0,Cloudy,0
Uncrewed,N,86.0,0.0,58.63,90.0,73.0,82.0,0.0,0.24,W,16.0,7.0,Cloudy,0
Uncrewed,N,90.0,0.0,78.8,90.0,73.0,82.0,0.0,0.25,E,15.0,10.0,Cloudy,0
Uncrewed,Y,91.0,80.0,85.35,90.0,73.0,82.0,0.0,0.24,SE,20.0,10.0,Partly Cloudy,1
Uncrewed,N,91.0,0.0,81.32,90.0,73.0,82.0,0.0,0.25,E,15.0,10.0,Mostly Cloudy,0
Uncrewed,N,90.0,79.0,84.54,90.0,73.0,82.0,0.0,0.25,NE,16.0,10.0,Partly Cloudy,0
Uncrewed,N,80.0,46.0,62.75,78.0,59.0,69.0,0.0,0.09,W,13.0,10.0,Fair,0
Uncrewed,N,74.0,0.0,60.12,78.0,59.0,69.0,0.0,0.09,NW,23.0,15.0,Windy,0
Uncrewed,Y,76.0,49.0,62.0,78.0,59.0,69.0,0.0,0.08,N,12.0,15.0,Fair,1
Uncrewed,N,77.0,48.0,63.25,78.0,59.0,68.0,0.0,0.08,W,10.0,10.0,Fair,0
Uncrewed,N,83.0,55.0,69.0,78.0,58.0,68.0,0.0,0.07,W,17.0,10.0,Fair,0
Uncrewed,N,70.0,0.0,56.68,72.0,49.0,61.0,0.0,0.08,NW,15.0,10.0,Cloudy,0
Uncrewed,N,68.0,47.0,58.78,72.0,49.0,61.0,0.0,0.08,E,12.0,20.0,Fair,0
Uncrewed,Y,65.0,51.0,56.55,72.0,79.0,61.0,0.0,0.08,N,22.0,10.0,Fair,1
Uncrewed,N,65.0,41.0,53.48,72.0,50.0,61.0,0.0,0.08,E,17.0,10.0,Partly Cloudy,0
Uncrewed,N,70.0,0.0,57.75,72.0,50.0,61.0,0.0,0.08,NE,60.0,10.0,Partly Cloudy,0
Uncrewed,N,93.0,0.0,68.11,82.0,61.0,71.0,0.0,0.06,SE,13.0,7.0,Partly Cloudy,0
Uncrewed,N,91.0,0.0,74.08,82.0,61.0,72.0,0.8,0.07,SE,16.0,7.0,Mostly Cloudy,0
Uncrewed,Y,76.0,0.0,67.35,82.0,62.0,72.0,0.0,0.06,NE,29.0,7.0,Cloudy,1
Uncrewed,N,74.0,0.0,63.48,82.0,62.0,72.0,0.0,0.07,E,22.0,7.0,Cloudy,0
Uncrewed,N,82.0,0.0,72.48,82.0,62.0,72.0,0.0,0.06,SE,20.0,7.0,Cloudy,0
Uncrewed,N,75.0,59.0,65.74,84.0,68.0,76.0,0.1,0.16,NW,14.0,20.0,Cloudy,0
Uncrewed,N,79.0,58.0,69.43,84.0,68.0,76.0,0.0,0.15,NW,18.0,20.0,Cloudy,0
Uncrewed,Y,79.0,74.0,76.33,84.0,68.0,76.0,0.0,0.16,E,21.0,20.0,Cloudy,1
