매장ID,요일,날짜,영업여부,프로모션여부,공휴일여부,학교휴교여부
1,4,2015-09-17,1.0,1,0,0
3,4,2015-09-17,1.0,1,0,0
7,4,2015-09-17,1.0,1,0,0
8,4,2015-09-17,1.0,1,0,0
9,4,2015-09-17,1.0,1,0,0
10,4,2015-09-17,1.0,1,0,0
11,4,2015-09-17,1.0,1,0,0
12,4,2015-09-17,1.0,1,0,0
13,4,2015-09-17,1.0,1,0,0
14,4,2015-09-17,1.0,1,0,0
15,4,2015-09-17,1.0,1,0,0
16,4,2015-09-17,1.0,1,0,0
19,4,2015-09-17,1.0,1,0,0
20,4,2015-09-17,1.0,1,0,0
21,4,2015-09-17,1.0,1,0,0
22,4,2015-09-17,1.0,1,0,0
23,4,2015-09-17,1.0,1,0,0
24,4,2015-09-17,1.0,1,0,0
25,4,2015-09-17,1.0,1,0,0
27,4,2015-09-17,1.0,1,0,0
29,4,2015-09-17,1.0,1,0,0
30,4,2015-09-17,1.0,1,0,0
31,4,2015-09-17,1.0,1,0,0
32,4,2015-09-17,1.0,1,0,0
33,4,2015-09-17,1.0,1,0,0
35,4,2015-09-17,1.0,1,0,0
36,4,2015-09-17,1.0,1,0,0
38,4,2015-09-17,1.0,1,0,0
39,4,2015-09-17,1.0,1,0,0
40,4,2015-09-17,1.0,1,0,0
41,4,2015-09-17,1.0,1,0,0
42,4,2015-09-17,1.0,1,0,0
43,4,2015-09-17,1.0,1,0,0
45,4,2015-09-17,1.0,1,0,0
46,4,2015-09-17,1.0,1,0,0
47,4,2015-09-17,1.0,1,0,0
48,4,2015-09-17,1.0,1,0,0
49,4,2015-09-17,1.0,1,0,0
50,4,2015-09-17,1.0,1,0,0
51,4,2015-09-17,1.0,1,0,0
52,4,2015-09-17,1.0,1,0,0
53,4,2015-09-17,1.0,1,0,0
56,4,2015-09-17,1.0,1,0,0
58,4,2015-09-17,1.0,1,0,0
61,4,2015-09-17,1.0,1,0,0
62,4,2015-09-17,1.0,1,0,0
63,4,2015-09-17,1.0,1,0,0
64,4,2015-09-17,1.0,1,0,0
66,4,2015-09-17,1.0,1,0,0
67,4,2015-09-17,1.0,1,0,0
68,4,2015-09-17,1.0,1,0,0
69,4,2015-09-17,1.0,1,0,0
70,4,2015-09-17,1.0,1,0,0
71,4,2015-09-17,1.0,1,0,0
72,4,2015-09-17,1.0,1,0,0
73,4,2015-09-17,1.0,1,0,0
74,4,2015-09-17,1.0,1,0,0
75,4,2015-09-17,1.0,1,0,0
76,4,2015-09-17,1.0,1,0,0
77,4,2015-09-17,1.0,1,0,0
79,4,2015-09-17,1.0,1,0,0
80,4,2015-09-17,1.0,1,0,0
81,4,2015-09-17,1.0,1,0,0
82,4,2015-09-17,1.0,1,0,0
83,4,2015-09-17,1.0,1,0,0
84,4,2015-09-17,1.0,1,0,0
86,4,2015-09-17,1.0,1,0,0
89,4,2015-09-17,1.0,1,0,0
90,4,2015-09-17,1.0,1,0,0
91,4,2015-09-17,1.0,1,0,0
92,4,2015-09-17,1.0,1,0,0
93,4,2015-09-17,1.0,1,0,0
94,4,2015-09-17,1.0,1,0,0
98,4,2015-09-17,1.0,1,0,0
99,4,2015-09-17,1.0,1,0,0
100,4,2015-09-17,1.0,1,0,0
101,4,2015-09-17,1.0,1,0,0
102,4,2015-09-17,1.0,1,0,0
105,4,2015-09-17,1.0,1,0,0
107,4,2015-09-17,1.0,1,0,0
108,4,2015-09-17,1.0,1,0,0
109,4,2015-09-17,1.0,1,0,0
110,4,2015-09-17,1.0,1,0,0
111,4,2015-09-17,1.0,1,0,0
112,4,2015-09-17,1.0,1,0,0
113,4,2015-09-17,1.0,1,0,0
115,4,2015-09-17,1.0,1,0,0
117,4,2015-09-17,1.0,1,0,0
118,4,2015-09-17,1.0,1,0,0
119,4,2015-09-17,1.0,1,0,0
120,4,2015-09-17,1.0,1,0,0
122,4,2015-09-17,1.0,1,0,0
124,4,2015-09-17,1.0,1,0,0
126,4,2015-09-17,1.0,1,0,0
127,4,2015-09-17,1.0,1,0,0
128,4,2015-09-17,1.0,1,0,0
129,4,2015-09-17,1.0,1,0,0
130,4,2015-09-17,1.0,1,0,0
131,4,2015-09-17,1.0,1,0,0
132,4,2015-09-17,1.0,1,0,0
135,4,2015-09-17,1.0,1,0,0
136,4,2015-09-17,1.0,1,0,0
137,4,2015-09-17,1.0,1,0,0
139,4,2015-09-17,1.0,1,0,0
140,4,2015-09-17,1.0,1,0,0
141,4,2015-09-17,1.0,1,0,0
142,4,2015-09-17,1.0,1,0,0
143,4,2015-09-17,1.0,1,0,0
144,4,2015-09-17,1.0,1,0,0
145,4,2015-09-17,1.0,1,0,0
146,4,2015-09-17,1.0,1,0,0
147,4,2015-09-17,1.0,1,0,0
149,4,2015-09-17,1.0,1,0,0
150,4,2015-09-17,1.0,1,0,0
152,4,2015-09-17,1.0,1,0,0
153,4,2015-09-17,1.0,1,0,0
154,4,2015-09-17,1.0,1,0,0
155,4,2015-09-17,1.0,1,0,0
157,4,2015-09-17,1.0,1,0,0
158,4,2015-09-17,1.0,1,0,0
159,4,2015-09-17,1.0,1,0,0
160,4,2015-09-17,1.0,1,0,0
161,4,2015-09-17,1.0,1,0,0
162,4,2015-09-17,1.0,1,0,0
164,4,2015-09-17,1.0,1,0,0
165,4,2015-09-17,1.0,1,0,0
166,4,2015-09-17,1.0,1,0,0
168,4,2015-09-17,1.0,1,0,0
169,4,2015-09-17,1.0,1,0,0
170,4,2015-09-17,1.0,1,0,0
171,4,2015-09-17,1.0,1,0,0
172,4,2015-09-17,1.0,1,0,0
174,4,2015-09-17,1.0,1,0,0
175,4,2015-09-17,1.0,1,0,0
176,4,2015-09-17,1.0,1,0,0
179,4,2015-09-17,1.0,1,0,0
180,4,2015-09-17,1.0,1,0,0
181,4,2015-09-17,1.0,1,0,0
182,4,2015-09-17,1.0,1,0,0
183,4,2015-09-17,1.0,1,0,0
184,4,2015-09-17,1.0,1,0,0
186,4,2015-09-17,1.0,1,0,0
187,4,2015-09-17,1.0,1,0,0
188,4,2015-09-17,1.0,1,0,0
189,4,2015-09-17,1.0,1,0,0
190,4,2015-09-17,1.0,1,0,0
191,4,2015-09-17,1.0,1,0,0
192,4,2015-09-17,1.0,1,0,0
193,4,2015-09-17,1.0,1,0,0
194,4,2015-09-17,1.0,1,0,0
195,4,2015-09-17,1.0,1,0,0
197,4,2015-09-17,1.0,1,0,0
199,4,2015-09-17,1.0,1,0,0
200,4,2015-09-17,1.0,1,0,0
201,4,2015-09-17,1.0,1,0,0
