직원번호,이직여부,나이,성별,결혼상태,집까지거리,교육수준,전공분야,부서,직급,직무,최근승진후경과연수,총근속연수,회사근속연수,현재직무근속연수,현재상사와근속연수,이전근무회사수,월급,급여인상률,스톡옵션수준,성과평가,연간교육횟수,업무몰입도,야근여부,출장빈도,직무만족도,근무환경만족도,인간관계만족도,워라밸만족도
1,Yes,41,Female,Single,1,2,Life Sciences,Sales,2,Sales Executive,0,8,6,4,5,8,5993,11,0,3,0,3,Yes,Travel_Rarely,4,2,1,1
2,No,49,Male,Married,8,1,Life Sciences,Research & Development,2,Research Scientist,1,10,10,7,7,1,5130,23,1,4,3,2,No,Travel_Frequently,2,3,4,3
4,Yes,37,Male,Single,2,2,Other,Research & Development,1,Laboratory Technician,0,7,0,0,0,6,2090,15,0,3,3,2,Yes,Travel_Rarely,3,4,2,3
5,No,33,Female,Married,3,4,Life Sciences,Research & Development,1,Research Scientist,3,8,8,7,0,1,2909,11,0,3,3,3,Yes,Travel_Frequently,3,4,3,3
7,No,27,Male,Married,2,1,Medical,Research & Development,1,Laboratory Technician,2,6,2,2,2,9,3468,12,1,3,3,3,No,Travel_Rarely,2,1,4,3
8,No,32,Male,Single,2,2,Life Sciences,Research & Development,1,Laboratory Technician,3,8,7,7,6,0,3068,13,0,3,2,3,No,Travel_Frequently,4,4,3,2
10,No,59,Female,Married,3,3,Medical,Research & Development,1,Laboratory Technician,0,12,1,0,0,4,2670,20,3,4,3,4,Yes,Travel_Rarely,1,3,1,2
11,No,30,Male,Divorced,24,1,Life Sciences,Research & Development,1,Laboratory Technician,0,1,1,0,0,1,2693,22,1,4,2,3,No,Travel_Rarely,3,4,2,3
12,No,38,Male,Single,23,3,Life Sciences,Research & Development,3,Manufacturing Director,1,10,9,7,8,0,9526,21,0,4,2,2,No,Travel_Frequently,3,4,2,3
13,No,36,Male,Married,27,3,Medical,Research & Development,2,Healthcare Representative,7,17,7,7,7,6,5237,13,2,3,3,3,No,Travel_Rarely,3,3,2,2
14,No,35,Male,Married,16,3,Medical,Research & Development,1,Laboratory Technician,0,6,5,4,3,0,2426,13,1,3,5,4,No,Travel_Rarely,2,1,3,3
15,No,29,Female,Single,15,2,Life Sciences,Research & Development,2,Laboratory Technician,0,10,9,5,8,0,4193,12,0,3,3,2,Yes,Travel_Rarely,3,4,4,3
16,No,31,Male,Divorced,26,1,Life Sciences,Research & Development,1,Research Scientist,4,5,5,2,3,1,2911,17,1,3,1,3,No,Travel_Rarely,3,1,4,2
18,No,34,Male,Divorced,19,2,Medical,Research & Development,1,Laboratory Technician,1,3,2,2,2,0,2661,11,1,3,2,3,No,Travel_Rarely,4,2,3,3
19,Yes,28,Male,Single,24,3,Life Sciences,Research & Development,1,Laboratory Technician,0,6,4,2,3,5,2028,14,0,3,4,2,Yes,Travel_Rarely,3,3,2,3
20,No,29,Female,Divorced,21,4,Life Sciences,Research & Development,3,Manufacturing Director,8,10,10,9,8,1,9980,11,1,3,1,4,No,Travel_Rarely,1,2,3,3
21,No,32,Male,Divorced,5,2,Life Sciences,Research & Development,1,Research Scientist,0,7,6,2,5,0,3298,12,2,3,5,4,Yes,Travel_Rarely,2,1,4,2
22,No,22,Male,Divorced,16,2,Medical,Research & Development,1,Laboratory Technician,0,1,1,0,0,1,2935,13,2,3,2,4,Yes,Non-Travel,4,4,2,2
23,No,53,Female,Married,2,4,Life Sciences,Sales,4,Manager,3,31,25,8,7,2,15427,16,0,3,3,2,No,Travel_Rarely,4,1,3,3
24,No,38,Male,Single,2,3,Life Sciences,Research & Development,1,Research Scientist,1,6,3,2,2,5,3944,11,0,3,3,3,Yes,Travel_Rarely,4,4,3,3
26,No,24,Female,Divorced,11,2,Other,Research & Development,2,Manufacturing Director,1,5,4,2,3,0,4011,18,1,3,5,4,No,Non-Travel,3,1,4,2
27,Yes,36,Male,Single,9,4,Life Sciences,Sales,1,Sales Representative,0,10,5,3,3,7,3407,23,0,4,4,2,No,Travel_Rarely,1,3,2,3
28,No,34,Female,Single,7,4,Life Sciences,Research & Development,3,Research Director,2,13,12,6,11,0,11994,11,0,3,4,3,No,Travel_Rarely,2,1,3,3
30,No,21,Male,Single,15,2,Life Sciences,Research & Development,1,Research Scientist,0,0,0,0,0,1,1232,14,0,3,6,3,No,Travel_Rarely,4,3,4,3
31,Yes,34,Male,Single,6,1,Medical,Research & Development,1,Research Scientist,1,8,4,2,3,2,2960,11,0,3,2,3,No,Travel_Rarely,1,2,3,3
32,No,53,Female,Divorced,5,3,Other,Research & Development,5,Manager,4,26,14,13,8,4,19094,11,1,3,3,3,No,Travel_Rarely,3,3,4,2
33,Yes,32,Female,Single,16,1,Life Sciences,Research & Development,1,Research Scientist,6,10,10,2,7,1,3919,22,0,4,5,1,Yes,Travel_Frequently,1,2,2,3
35,No,42,Male,Married,8,4,Marketing,Sales,2,Sales Executive,4,10,9,7,2,0,6825,11,1,3,2,3,No,Travel_Rarely,2,3,4,3
